slug,canonical_slug,aliases,name,active,product_count,brand_review_count,brand_reviews_available,order_volume_label,order_volume_numeric,order_volume_tier,years_on_noths,months_on_noths,tenure_label,location,returns_address_full,brand_url,products_url,affiliate_url,reviews_per_1k_orders
fragrancedhumour,fragrancedhumour,,Fragranced Humour,True,558,82,True,4.9K+,4900,1K+,1,,1 year,"Caerdydd, GB",,https://www.notonthehighstreet.com/partners/fragrancedhumour,https://www.notonthehighstreet.com/partners/fragrancedhumour/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Ffragrancedhumour,16.73
gonecrabbing,gonecrabbing,,Gone Crabbing Limited,True,28,280,True,4.9K+,4900,1K+,15,,15 years,"Cornwall, GB",,https://www.notonthehighstreet.com/partners/gonecrabbing,https://www.notonthehighstreet.com/partners/gonecrabbing/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fgonecrabbing,57.14
kabinshop,kabinshop,,Kabinshop,True,183,132,True,4.9K+,4900,1K+,10,,10 years,"London, GB",,https://www.notonthehighstreet.com/partners/kabinshop,https://www.notonthehighstreet.com/partners/kabinshop/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fkabinshop,26.94
littlesentiments,littlesentiments,,Little Sentiments,True,320,148,True,4.9K+,4900,1K+,1,,1 year,"Nottingham, GB",,https://www.notonthehighstreet.com/partners/littlesentiments,https://www.notonthehighstreet.com/partners/littlesentiments/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Flittlesentiments,30.2
moonshineprints,moonshineprints,,Moonshine Prints,True,519,41,True,4.9K+,4900,1K+,3,,3 years,"Cheshire, GB",,https://www.notonthehighstreet.com/partners/moonshineprints,https://www.notonthehighstreet.com/partners/moonshineprints/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fmoonshineprints,8.37
simplycakeco,simplycakeco,,Simply Cake Co.,True,37,0,True,4.9K+,4900,1K+,3,,3 years,"King's Lynn, GB","Simply Cake Co, Hereford Way, Hardwick Narrows, King's Lynn, PE30 4JD, GB",https://www.notonthehighstreet.com/partners/simplycakeco,https://www.notonthehighstreet.com/partners/simplycakeco/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fsimplycakeco,0.0
thefireshack,thefireshack,,The Fire Shack,True,151,114,True,4.9K+,4900,1K+,3,,3 years,"Devon, GB",,https://www.notonthehighstreet.com/partners/thefireshack,https://www.notonthehighstreet.com/partners/thefireshack/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fthefireshack,23.27
wildonejewellery,wildonejewellery,,Wild One Jewellery,True,16,153,True,4.9K+,4900,1K+,16,,16 years,"Lincolnshire, GB",,https://www.notonthehighstreet.com/partners/wildonejewellery,https://www.notonthehighstreet.com/partners/wildonejewellery/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fwildonejewellery,31.22
woati,woati,,Woati,True,153,92,True,4.9K+,4900,1K+,2,,2 years,"London, GB",,https://www.notonthehighstreet.com/partners/woati,https://www.notonthehighstreet.com/partners/woati/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fwoati,18.78
anthonyblakeney,anthonyblakeney,,Anthony Blakeney,True,49,377,True,4.8K+,4800,1K+,13,,13 years,"West Yorkshire, GB",,https://www.notonthehighstreet.com/partners/anthonyblakeney,https://www.notonthehighstreet.com/partners/anthonyblakeney/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fanthonyblakeney,78.54
